**MINIMIZED DFA TRANSITION TABLE**
No.Of States: 90
from 31  on getting 98 to 77
from 31  on getting 99 to 78
from 31  on getting 100 to 78
from 31  on getting 101 to 79
from 31  on getting 102 to 79
from 31  on getting 103 to 80
from 31  on getting 104 to 80
from 31  on getting 105 to 81
from 31  on getting 106 to 81
from 31  on getting 107 to 82
from 31  on getting 108 to 82
from 31  on getting 109 to 83
from 31  on getting 110 to 83
from 31  on getting 111 to 84
from 31  on getting 112 to 84
from 31  on getting 113 to 85
from 31  on getting 114 to 85
from 31  on getting 115 to 86
from 31  on getting 116 to 86
from 31  on getting 117 to 87
from 31  on getting 118 to 87
from 31  on getting 119 to 88
from 31  on getting 120 to 88
from 31  on getting 121 to 89
from 31  on getting 122 to 89
from 32  on getting 48 to 59
from 32  on getting 49 to 59
from 32  on getting 50 to 60
from 32  on getting 51 to 60
from 32  on getting 52 to 61
from 32  on getting 53 to 61
from 32  on getting 54 to 62
from 32  on getting 55 to 62
from 32  on getting 56 to 63
from 32  on getting 57 to 63
from 32  on getting 65 to 64
from 32  on getting 66 to 64
from 32  on getting 67 to 65
from 32  on getting 68 to 65
from 32  on getting 69 to 66
from 32  on getting 70 to 66
from 32  on getting 71 to 67
from 32  on getting 72 to 67
from 32  on getting 73 to 68
from 32  on getting 74 to 68
from 32  on getting 75 to 69
from 32  on getting 76 to 69
from 32  on getting 77 to 70
from 32  on getting 78 to 70
from 32  on getting 79 to 71
from 32  on getting 80 to 71
from 32  on getting 81 to 72
from 32  on getting 82 to 72
from 32  on getting 83 to 73
from 32  on getting 84 to 73
from 32  on getting 85 to 74
from 32  on getting 86 to 74
from 32  on getting 87 to 75
from 32  on getting 88 to 75
from 32  on getting 89 to 76
from 32  on getting 90 to 76
from 32  on getting 97 to 77
from 32  on getting 98 to 77
from 32  on getting 99 to 78
from 32  on getting 100 to 78
from 32  on getting 101 to 79
from 32  on getting 102 to 79
from 32  on getting 103 to 80
from 32  on getting 104 to 80
from 32  on getting 105 to 81
from 32  on getting 106 to 81
from 32  on getting 107 to 82
from 32  on getting 108 to 82
from 32  on getting 109 to 83
from 32  on getting 110 to 83
from 32  on getting 111 to 84
from 32  on getting 112 to 84
from 32  on getting 113 to 85
from 32  on getting 114 to 85
from 32  on getting 115 to 86
from 32  on getting 116 to 86
from 32  on getting 117 to 87
from 32  on getting 118 to 87
